example_id                                         | status | run_time        |
./spec/moxml/adapter/ox_spec.rb[1:1:6:1]           | failed | 0.00003 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:6:2]           | failed | 0.00003 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:6:3]           | failed | 0.00004 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:6:4]           | failed | 0.00003 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:6:5]           | failed | 0.00003 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:7:1]           | passed | 0.00004 seconds |
./spec/moxml/adapter/ox_spec.rb[1:1:7:2]           | failed | 0.00006 seconds |
./spec/moxml/attribute_spec.rb[1:1:1]              | passed | 0.00009 seconds |
./spec/moxml/attribute_spec.rb[1:1:2]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:1:3]              | passed | 0.00009 seconds |
./spec/moxml/attribute_spec.rb[1:1:4]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:1:5]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:2:1]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:2:2]              | failed | 0.00009 seconds |
./spec/moxml/attribute_spec.rb[1:3:1]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:3:2]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:4:1]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:4:2]              | failed | 0.00025 seconds |
./spec/moxml/attribute_spec.rb[1:5:1]              | passed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:5:2]              | passed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:6:1]              | failed | 0.0001 seconds  |
./spec/moxml/attribute_spec.rb[1:6:2]              | failed | 0.00009 seconds |
./spec/moxml/attribute_spec.rb[1:6:3]              | failed | 0.00025 seconds |
./spec/moxml/attribute_spec.rb[1:6:4]              | failed | 0.0001 seconds  |
./spec/moxml/cdata_spec.rb[1:1]                    | passed | 0.00009 seconds |
./spec/moxml/cdata_spec.rb[1:2:1]                  | passed | 0.00008 seconds |
./spec/moxml/cdata_spec.rb[1:2:2]                  | passed | 0.00008 seconds |
./spec/moxml/cdata_spec.rb[1:2:3]                  | passed | 0.00008 seconds |
./spec/moxml/cdata_spec.rb[1:3:1]                  | passed | 0.00008 seconds |
./spec/moxml/cdata_spec.rb[1:3:2]                  | passed | 0.00009 seconds |
./spec/moxml/cdata_spec.rb[1:3:3]                  | passed | 0.00008 seconds |
./spec/moxml/cdata_spec.rb[1:4:1]                  | passed | 0.0001 seconds  |
./spec/moxml/cdata_spec.rb[1:4:2]                  | passed | 0.00009 seconds |
./spec/moxml/cdata_spec.rb[1:4:3]                  | passed | 0.00009 seconds |
./spec/moxml/comment_spec.rb[1:1]                  | passed | 0.00012 seconds |
./spec/moxml/comment_spec.rb[1:2:1]                | passed | 0.00008 seconds |
./spec/moxml/comment_spec.rb[1:2:2]                | passed | 0.00008 seconds |
./spec/moxml/comment_spec.rb[1:2:3]                | passed | 0.00008 seconds |
./spec/moxml/comment_spec.rb[1:3:1]                | passed | 0.00008 seconds |
./spec/moxml/comment_spec.rb[1:3:2]                | failed | 0.00011 seconds |
./spec/moxml/comment_spec.rb[1:3:3]                | failed | 0.0001 seconds  |
./spec/moxml/comment_spec.rb[1:4:1]                | failed | 0.00017 seconds |
./spec/moxml/comment_spec.rb[1:4:2]                | passed | 0.0001 seconds  |
./spec/moxml/comment_spec.rb[1:4:3]                | passed | 0.0001 seconds  |
./spec/moxml/config_spec.rb[1:1:1]                 | passed | 0.00036 seconds |
./spec/moxml/config_spec.rb[1:2:1]                 | passed | 0.00014 seconds |
./spec/moxml/config_spec.rb[1:2:2]                 | passed | 0.00009 seconds |
./spec/moxml/config_spec.rb[1:2:3]                 | passed | 0.00015 seconds |
./spec/moxml/config_spec.rb[1:2:4]                 | passed | 0.00248 seconds |
./spec/moxml/config_spec.rb[1:3:1]                 | passed | 0.00008 seconds |
./spec/moxml/config_spec.rb[1:3:2]                 | passed | 0.00008 seconds |
./spec/moxml/config_spec.rb[1:3:3]                 | passed | 0.00013 seconds |
./spec/moxml/context_spec.rb[1:1:1]                | passed | 0.00008 seconds |
./spec/moxml/context_spec.rb[1:1:2]                | passed | 0.00009 seconds |
./spec/moxml/context_spec.rb[1:2:1]                | passed | 0.00011 seconds |
./spec/moxml/context_spec.rb[1:2:2]                | passed | 0.00009 seconds |
./spec/moxml/context_spec.rb[1:2:3]                | passed | 0.0001 seconds  |
./spec/moxml/context_spec.rb[1:3:1]                | passed | 0.00031 seconds |
./spec/moxml/declaration_spec.rb[1:1]              | failed | 0.00018 seconds |
./spec/moxml/declaration_spec.rb[1:2:1]            | failed | 0.00014 seconds |
./spec/moxml/declaration_spec.rb[1:2:2]            | failed | 0.00011 seconds |
./spec/moxml/declaration_spec.rb[1:2:3]            | failed | 0.00021 seconds |
./spec/moxml/declaration_spec.rb[1:3:1]            | failed | 0.00008 seconds |
./spec/moxml/declaration_spec.rb[1:3:2]            | failed | 0.00008 seconds |
./spec/moxml/declaration_spec.rb[1:3:3]            | failed | 0.00008 seconds |
./spec/moxml/declaration_spec.rb[1:4:1]            | failed | 0.00008 seconds |
./spec/moxml/declaration_spec.rb[1:4:2]            | failed | 0.00008 seconds |
